carat,cut,color,clarity,depth,table,price
1.0,1,3,3,56.3,63.0,4150
1.02,5,4,4,62.6,57.0,5922
0.31,4,2,5,59.2,60.0,628
0.4,4,7,3,62.5,61.0,924
0.31,5,4,8,62.1,56.0,871
0.28,4,6,7,61.1,60.0,828
0.7,5,5,6,61.0,57.0,3478
0.33,4,3,5,62.9,59.0,743
0.31,4,4,4,60.9,58.0,544
0.51,3,3,5,60.7,56.0,1628
0.41,3,4,6,61.6,56.0,1007
1.08,5,7,2,61.6,57.0,5352
0.25,5,4,5,62.7,54.0,438
0.9,2,6,7,63.4,60.0,7214
0.41,5,1,5,62.7,54.0,648
0.52,4,7,4,60.9,58.0,1619
0.36,3,6,3,63.5,58.0,593
0.42,4,5,4,61.9,58.0,945
0.78,3,2,2,62.5,58.0,2132
1.88,3,7,2,63.2,60.0,9791
0.5,2,6,4,59.8,57.0,1395
1.09,3,5,5,62.9,58.0,7598
0.3,3,4,3,58.8,60.0,447
1.05,4,4,4,62.8,58.0,6181
0.33,5,7,5,61.0,56.0,1077
0.33,3,4,6,62.8,57.0,752
1.53,4,2,4,62.0,58.0,10196
1.5,5,4,3,61.0,57.0,12009
0.31,3,4,4,63.0,54.0,544
1.02,2,5,4,63.3,59.0,6479
1.01,4,4,3,62.7,59.0,4808
0.32,5,4,6,62.1,57.0,936
1.8,5,5,3,61.8,57.0,16513
2.01,1,4,3,70.6,64.0,18574
1.12,4,4,2,61.0,60.0,3838
1.01,3,4,5,63.2,58.0,6618
0.7,3,2,7,61.2,58.0,2513
1.2,5,6,6,61.5,57.0,11883
2.17,4,5,2,59.3,61.0,13084
0.42,5,5,4,62.0,55.0,872
0.32,3,7,6,60.1,58.0,791
2.4,4,1,3,59.7,58.0,15920
0.32,3,6,3,63.3,55.0,672
1.01,5,4,2,62.4,56.0,4242
0.61,5,4,5,61.8,56.0,2041
1.37,5,4,7,62.6,55.0,12342
0.71,4,3,2,61.5,60.0,1826
0.41,4,4,4,61.8,58.0,1061
0.34,3,4,6,61.7,56.0,775
0.32,4,3,4,62.7,58.0,605
0.54,5,3,4,61.5,55.0,1453
0.37,4,7,5,60.2,60.0,803
1.51,4,5,4,62.5,58.0,14294
1.05,1,7,2,65.4,59.0,3816
1.2,3,4,4,63.1,57.0,7371
0.83,5,5,3,62.2,55.0,3560
0.73,4,5,5,61.9,56.0,2961
1.03,3,4,5,62.2,57.0,6539
0.41,3,7,6,61.2,55.0,1364
0.38,5,6,6,59.9,61.0,1008
0.55,3,6,6,60.6,56.0,2499
1.25,5,3,6,60.8,57.0,8789
0.9,5,2,5,61.8,56.0,3724
0.3,5,4,5,62.2,55.0,776
0.92,5,1,4,61.1,57.0,3215
0.3,4,6,4,61.8,58.0,844
1.02,5,4,4,62.5,57.0,6352
0.35,5,2,4,61.7,57.0,630
1.53,4,2,2,62.1,59.0,7539
2.01,4,1,2,61.4,60.0,12407
0.9,2,5,4,59.8,61.0,4253
1.06,3,6,6,61.8,58.0,9997
0.33,5,4,7,61.7,56.0,1114
1.67,3,3,3,59.4,61.0,11146
0.56,3,6,4,61.0,58.0,1755
0.7,5,5,5,62.2,56.0,2792
0.27,4,5,8,61.7,57.0,820
2.01,4,3,3,61.2,62.0,12829
1.32,4,3,2,62.7,58.0,6431
0.38,4,5,7,61.6,58.0,1257
1.53,5,4,3,61.3,57.0,8529
1.0,4,5,3,62.6,60.0,5197
0.52,5,7,4,61.8,56.0,1822
0.72,3,6,3,61.6,58.0,2688
0.63,5,5,4,61.2,56.0,2182
2.51,2,4,2,59.5,65.0,14251
0.5,5,2,6,60.5,57.0,1640
2.14,4,2,3,59.5,59.0,15499
0.54,5,4,5,61.9,54.0,1847
0.33,5,7,4,62.3,54.0,855
0.83,5,6,3,61.5,55.0,4024
0.42,5,5,6,61.6,56.0,1221
0.38,5,3,5,62.1,55.4,714
0.52,5,6,4,61.9,56.0,1815
1.51,3,3,4,61.9,57.0,10090
0.36,5,5,8,62.2,55.0,1215
0.4,4,3,3,62.7,58.0,666
1.02,4,4,5,62.0,56.0,6683
1.51,4,4,4,62.7,58.0,12872
0.91,5,6,3,60.7,56.0,3665
0.44,4,4,3,60.1,60.0,990
0.37,5,6,3,61.4,56.0,606
0.91,4,4,3,62.6,58.0,3975
1.02,3,6,2,63.3,58.0,4540
0.5,5,7,4,61.1,57.0,2243
0.4,5,2,6,61.9,56.4,728
1.59,2,5,3,63.6,57.0,11716
0.39,5,3,3,61.9,55.7,654
1.02,5,4,3,62.2,56.0,5082
0.7,5,5,5,62.0,55.0,2726
0.51,3,5,4,63.1,58.0,1574
0.4,5,7,4,61.7,56.0,1172
1.5,3,2,4,63.0,57.0,8662
1.07,3,5,8,59.4,59.0,11019
2.06,5,3,2,62.0,57.0,11040
1.56,2,1,4,57.6,65.0,6966
1.23,5,5,5,61.3,57.0,8679
0.7,4,4,4,62.5,55.0,2479
0.25,3,6,4,63.3,56.0,436
0.38,5,4,3,62.0,55.0,969
0.34,4,4,4,60.2,58.0,596
0.31,5,3,8,62.0,56.0,772
0.76,5,2,3,62.3,57.0,2474
1.51,4,1,4,60.7,60.0,7357
1.02,4,4,4,62.6,59.0,5978
0.31,5,6,4,61.8,54.0,680
0.9,3,2,4,62.4,58.0,3398
2.04,3,1,4,62.4,57.0,13825
0.33,5,5,4,62.3,56.0,854
0.7,4,5,2,61.2,59.0,1792
0.34,5,4,8,61.6,56.0,1084
0.54,5,2,3,60.0,59.0,1170
0.4,5,6,2,61.2,55.0,666
0.4,4,7,5,60.9,58.0,1200
0.42,5,3,6,62.0,57.0,823
2.13,4,3,2,62.4,56.0,12753
2.04,4,1,4,61.4,59.0,13600
1.01,3,4,3,63.0,57.0,4890
0.71,5,2,4,61.5,55.0,2878
0.7,3,6,3,63.2,57.0,2617
1.0,4,3,8,60.6,57.0,7235
0.4,5,5,6,62.4,57.0,1088
0.35,5,5,4,62.4,55.0,706
0.33,5,5,7,61.8,55.0,1141
1.7,4,6,3,62.3,57.0,15662
0.42,4,4,4,59.8,58.0,847
0.55,3,2,2,63.1,58.0,1041
0.6,4,5,2,58.9,59.0,1378
0.35,5,5,7,60.6,57.0,994
0.58,2,6,5,58.6,64.0,2185
0.3,5,6,7,61.7,57.0,1071
0.56,5,3,3,61.6,56.0,1612
1.52,5,2,4,62.1,59.0,9465
0.7,4,6,3,58.6,60.0,2657
0.5,4,4,5,60.9,58.0,1746
0.4,3,1,8,62.2,61.0,828
1.0,4,5,4,59.9,59.0,5864
0.7,4,3,3,59.0,60.0,2331
0.59,3,5,3,61.7,57.0,1412
0.38,2,5,4,56.2,61.0,873
2.01,2,7,2,59.9,65.0,16624
0.38,5,6,5,60.7,56.0,933
0.42,5,4,6,62.1,57.0,1103
0.43,4,7,4,59.7,59.0,901
1.16,4,3,3,60.2,59.0,5480
0.57,4,4,5,62.4,58.0,1949
0.54,5,7,5,62.0,56.0,1941
0.61,2,4,5,60.2,61.0,1785
0.7,4,1,5,60.9,58.0,2005
0.3,3,4,6,63.0,57.0,684
1.04,3,3,3,58.9,63.0,4484
1.2,4,3,3,62.4,58.0,5718
0.53,5,4,4,61.8,56.0,1607
1.53,3,4,4,58.9,59.0,13225
0.7,3,7,3,63.5,58.0,2686
1.0,3,6,2,62.4,57.0,4620
0.31,5,7,2,62.0,56.0,462
1.22,5,1,3,60.6,56.0,5586
0.71,4,5,3,58.5,59.0,2345
0.51,4,4,3,61.4,58.0,1071
0.5,5,5,4,62.5,57.0,1436
0.64,3,7,3,62.3,58.0,1969
2.01,5,3,2,61.9,57.0,14167
1.0,5,7,3,62.8,55.0,5639
0.56,5,2,4,62.1,54.0,1237
0.53,5,4,3,62.7,55.0,1308
1.61,5,4,4,62.2,56.0,9521
1.05,3,6,2,63.2,59.0,4281
1.04,1,4,5,64.9,58.0,5633
0.3,4,6,4,62.9,58.0,844
0.53,5,7,3,62.3,56.0,1683
0.3,3,7,3,62.2,58.0,552
1.02,5,4,6,61.1,57.0,7898
1.04,5,3,3,62.1,57.0,4801
1.21,5,2,2,60.6,56.0,5184
2.54,3,2,2,63.4,56.0,12095
0.56,5,6,5,61.0,57.0,1978
0.4,5,6,6,61.7,57.0,1056
0.79,5,6,4,62.2,55.0,3827
1.06,4,1,2,62.0,58.0,3823
0.27,3,6,6,61.9,58.0,575
1.01,5,2,3,60.6,57.0,3999
1.0,3,2,4,63.2,58.0,3265
1.02,4,7,2,60.9,61.0,4381
0.32,5,2,4,60.3,56.0,576
0.82,3,4,4,59.8,56.0,3535
0.3,5,6,4,61.3,58.0,621
0.41,5,3,4,60.7,55.0,1163
2.28,3,2,2,62.9,57.0,16041
0.71,4,2,6,61.4,56.0,2386
1.12,4,3,2,61.0,59.0,4077
0.72,5,6,2,61.9,55.0,2398
0.31,5,6,6,61.1,56.0,864
1.03,4,4,4,62.3,59.0,6214
0.24,2,5,7,64.8,57.0,492
1.55,4,2,3,62.5,60.0,8866
1.31,5,4,5,61.6,57.0,12008
1.02,5,5,2,62.1,56.0,4162
0.83,5,7,3,61.5,53.0,3933
1.19,4,6,5,59.8,58.0,9263
1.09,4,3,2,62.0,57.0,4700
0.71,5,5,2,65.3,53.0,2445
0.32,5,5,3,61.6,55.0,648
0.39,2,1,4,63.3,56.0,581
0.42,4,6,3,62.8,59.0,992
0.7,4,5,2,60.3,58.0,1806
0.58,5,6,6,61.8,57.0,2694
0.41,4,7,6,61.9,59.0,1105
1.54,5,3,2,60.9,56.4,9452
0.53,5,6,2,63.0,57.0,1262
0.51,4,4,4,62.6,57.0,1443
0.52,2,6,4,61.5,61.0,1660
0.45,3,7,4,62.9,58.4,1311
0.5,4,4,3,62.6,56.0,1286
0.3,5,4,8,62.3,55.0,863
1.0,2,7,2,64.0,59.0,3634
1.21,5,5,3,61.1,55.0,6659
0.31,4,7,2,61.5,60.0,593
0.34,5,5,4,60.8,57.0,699
1.52,2,2,4,63.3,61.0,8778
0.41,5,5,7,62.3,53.0,1356
0.72,3,4,4,63.1,57.0,2732
0.71,4,2,4,60.0,58.0,1952
0.9,5,2,4,61.3,56.0,3805
1.01,2,4,2,64.0,59.0,3461
0.44,5,5,7,61.5,57.0,1319
0.27,3,6,6,59.4,64.0,567
0.31,4,6,4,60.6,59.0,872
0.71,5,6,7,61.9,55.0,4027
0.4,3,6,6,61.0,55.0,1106
0.41,5,6,2,61.5,58.0,654
1.01,3,3,4,62.6,61.0,4821
1.01,2,5,2,63.0,60.0,3827
1.51,5,4,5,62.8,56.0,13811
1.27,4,5,6,61.3,60.0,11905
0.74,5,6,2,60.9,57.0,2594
0.33,5,7,3,62.8,55.0,780
0.41,4,3,6,62.2,58.0,961
1.52,1,3,1,65.4,62.0,4648
0.43,5,5,4,61.4,54.0,848
0.5,3,6,6,59.1,61.0,2106
0.51,3,7,3,63.5,55.0,1574
0.51,5,4,6,62.1,58.0,1844
0.33,3,4,5,61.3,57.0,681
0.32,5,7,4,62.3,57.0,758
0.71,3,4,3,61.6,61.0,2515
0.51,3,7,3,63.0,58.0,1442
1.05,1,3,2,64.8,55.0,2717
0.3,5,6,6,61.1,55.0,837
0.31,5,6,6,60.4,61.0,710
0.5,1,7,7,65.9,64.0,1792
1.01,3,4,5,59.3,57.0,7451
0.58,3,6,3,61.5,58.0,1424
1.25,4,3,4,60.4,59.0,7378
0.5,2,7,3,63.8,60.0,1333
1.7,4,6,2,59.8,59.0,9596
2.28,2,1,2,63.6,57.0,9068
0.59,4,3,6,62.3,55.0,1886
0.82,4,6,3,62.5,56.0,3295
0.61,5,6,5,61.7,55.0,2285
1.31,3,2,2,59.6,60.0,5187
0.31,4,4,3,62.4,55.0,593
1.01,3,6,6,61.7,60.0,9930
0.91,5,4,5,62.1,57.0,5795
0.9,4,5,3,62.8,59.0,3992
0.51,2,6,3,63.9,54.0,1443
0.4,4,3,5,62.6,58.0,1035
0.9,5,4,2,61.2,57.0,3521
1.11,5,6,8,61.8,55.0,15464
0.43,5,4,3,61.5,57.0,790
1.52,4,5,3,62.6,59.0,11743
0.4,5,4,4,60.9,58.0,825
0.91,2,6,3,60.2,60.0,4523
0.8,4,3,3,61.5,58.0,2760
2.15,1,1,1,65.5,57.0,5430
0.64,4,5,3,60.1,60.0,1901
1.34,5,3,4,61.2,56.0,6078
2.0,3,2,3,63.6,57.0,14057
0.3,5,4,6,61.5,55.0,878
0.35,3,7,4,62.6,56.0,721
0.5,5,5,2,60.9,57.0,1094
0.79,5,4,5,62.0,56.0,3561
1.01,4,7,2,62.6,60.0,4338
0.55,4,6,4,61.5,56.0,1881
0.7,5,2,3,59.9,59.0,2083
0.5,4,3,7,62.5,58.0,1710
0.9,4,2,4,61.9,59.0,2857
1.2,5,7,2,61.7,56.0,6619
1.01,2,6,2,63.3,58.0,4149
0.43,5,6,4,61.9,56.0,981
0.33,4,4,4,61.9,59.0,743
0.7,2,3,4,63.4,60.0,2394
0.94,5,6,2,60.9,57.0,4366
0.31,5,5,7,60.7,57.0,1140
0.44,5,6,6,61.8,56.0,1274
0.56,5,5,2,61.4,57.0,1279
1.41,4,5,2,62.7,56.0,7817
0.99,1,1,3,58.0,67.0,2949
0.51,5,2,6,60.6,56.0,1575
0.36,5,4,6,61.8,54.0,794
0.75,3,6,3,59.2,59.0,3260
0.32,5,3,7,62.9,57.0,936
0.39,4,4,7,60.4,59.0,1170
0.54,5,4,6,60.8,56.0,1950
0.7,4,7,5,61.2,60.0,3425
0.7,4,6,5,62.9,61.0,3175
2.04,2,1,4,59.6,56.0,13550
0.32,5,2,5,60.9,56.7,529
0.3,4,4,3,58.8,60.0,574
0.53,4,3,4,59.4,59.0,1428
1.24,5,3,7,62.3,54.0,8489
0.5,4,2,3,61.7,58.0,965
0.52,5,4,3,61.7,56.0,1266
0.37,4,7,3,61.9,59.0,681
0.33,5,3,7,60.2,60.0,698
0.34,4,4,2,62.8,59.0,574
1.29,4,5,3,62.5,60.0,7730
1.2,2,7,3,63.5,55.0,5913
0.54,5,4,6,61.8,56.0,1985
1.09,4,2,2,62.3,62.0,2708
0.43,2,6,3,63.1,56.0,739
0.41,5,5,4,61.4,55.0,1107
1.01,2,7,3,62.9,57.0,4977
0.37,4,5,3,60.3,58.0,791
0.84,1,4,5,55.6,64.0,2724
0.45,1,6,4,65.8,58.0,951
1.2,5,5,5,62.9,53.0,9032
1.35,3,3,2,62.2,56.0,6088
0.3,5,4,7,61.3,56.0,789
0.9,3,3,5,60.5,63.0,4201
0.72,5,4,6,61.6,55.0,3002
1.0,5,4,4,60.5,56.0,6328
0.3,3,2,5,60.4,58.0,473
0.7,5,1,5,62.2,56.0,1782
2.01,3,2,3,62.8,60.0,14811
0.41,4,4,5,60.5,57.0,961
0.34,5,2,8,62.1,54.0,695
0.91,5,5,2,61.7,56.0,4642
1.78,4,3,5,60.2,59.0,15460
0.7,4,3,6,59.6,59.0,2717
0.4,4,5,3,61.5,60.0,882
0.33,3,2,7,58.9,61.0,609
0.98,1,6,2,53.3,67.0,2855
0.43,5,7,4,61.3,55.0,1314
1.09,5,6,6,61.6,56.0,10314
0.42,5,4,5,62.7,54.0,984
1.01,4,3,2,59.4,59.0,4072
1.02,1,5,3,65.1,56.0,4462
1.04,5,2,3,61.9,54.0,4941
1.55,5,3,8,61.4,57.0,13421
1.14,3,5,2,62.9,59.0,4652
1.17,4,5,2,62.5,57.0,4259
0.65,4,7,3,60.5,58.0,2134
0.51,4,4,5,62.0,52.0,1781
0.75,4,4,3,59.1,59.0,2622
0.52,5,5,4,62.5,54.0,1600
1.52,3,5,4,62.9,53.3,15649
0.44,5,3,8,61.4,55.0,1177
0.51,2,4,7,63.9,57.0,1925
1.54,5,4,1,61.6,55.0,6299
0.5,5,3,4,61.3,56.0,1349
0.73,2,5,6,58.2,63.0,3166
1.17,3,5,4,62.4,56.0,7432
0.73,3,6,2,63.1,59.0,1975
1.01,1,7,2,64.6,62.0,4538
1.71,4,3,4,59.2,61.0,10084
0.24,3,6,5,59.8,58.0,419
0.31,5,5,4,62.2,56.0,583
0.72,3,3,3,63.0,58.0,2198
1.01,2,5,4,65.2,57.0,5700
1.82,4,3,4,61.6,60.0,14749
1.0,4,1,2,62.7,58.0,3293
0.3,4,7,4,62.3,58.0,710
0.74,4,4,2,60.1,58.0,2206
1.51,5,2,6,61.6,58.0,10821
0.32,5,4,5,61.8,55.0,559
1.07,5,2,5,62.0,57.0,5302
1.14,3,5,7,62.2,55.9,11737
1.01,3,5,2,60.0,55.0,4425
1.25,4,1,5,60.9,59.0,5156
2.01,4,2,4,62.1,59.0,15520
0.5,4,6,4,61.8,59.0,1420
2.05,4,2,2,62.0,58.0,9850
1.06,4,6,5,63.0,58.0,8044
1.0,1,4,3,68.2,60.0,3833
0.31,5,7,4,59.0,57.0,734
1.67,5,3,5,61.8,56.0,14014
0.31,5,6,5,61.9,56.0,734
0.73,5,4,3,60.7,56.0,2659
0.44,4,6,3,62.3,59.0,810
0.32,5,4,7,61.1,57.0,1080
0.41,3,7,2,62.7,58.0,683
1.0,3,5,2,61.1,61.0,4372
0.7,2,6,3,61.7,59.0,2459
1.0,3,5,4,62.7,58.0,6319
1.01,2,5,2,63.7,60.0,3897
0.9,5,4,2,61.4,56.0,4044
1.51,4,5,4,63.0,56.0,13248
1.97,4,5,2,61.1,58.0,14542
0.75,2,6,4,62.6,58.0,3084
1.5,2,5,4,63.6,55.0,13853
1.37,5,4,7,62.6,55.0,12455
0.54,4,5,4,62.4,55.0,1814
0.32,3,3,6,60.2,60.0,645
0.51,5,7,4,62.4,55.0,1678
0.49,4,3,4,59.6,62.0,965
0.91,4,6,3,62.4,57.0,4138
0.3,5,4,5,61.8,56.0,624
0.4,4,6,5,61.2,59.0,1053
1.52,3,1,3,62.3,57.0,7239
0.73,3,7,3,60.8,59.0,3014
0.52,2,6,3,63.7,54.0,1388
0.72,5,2,5,61.4,58.0,2586
2.01,3,3,2,62.2,63.0,12423
0.73,5,4,4,61.6,56.0,3595
0.49,5,6,6,61.9,56.0,2199
1.0,2,3,3,56.8,65.0,4138
1.14,5,6,6,62.3,55.0,10512
1.04,5,4,2,61.4,57.0,4375
4.01,4,1,1,62.5,62.0,15223
0.71,4,4,3,58.9,62.0,2181
0.51,5,3,8,59.6,59.0,2063
2.01,3,1,4,61.1,59.0,13109
0.7,5,7,2,60.6,57.0,2828
0.97,4,5,2,58.9,58.0,4020
1.59,5,3,5,60.7,56.0,13839
1.01,4,4,3,61.5,59.0,5006
1.01,4,5,2,62.7,59.0,4497
0.58,4,3,3,62.1,55.0,1332
1.03,5,5,2,60.9,56.0,4891
1.31,5,4,5,62.2,56.0,10071
0.69,5,4,3,62.4,56.0,2297
1.23,3,5,6,58.5,59.0,10650
0.33,5,7,2,61.3,56.0,631
2.01,4,2,4,61.1,60.0,17592
0.29,5,7,5,61.7,57.0,504
0.3,3,4,3,62.1,58.0,432
0.52,3,5,2,57.9,61.0,1273
0.7,4,5,2,58.8,58.0,2234
0.53,3,6,5,62.6,59.0,1909
0.7,5,2,5,63.1,54.0,2142
0.4,5,5,7,61.9,55.0,1168
1.0,4,5,4,60.5,59.0,6640
0.82,4,2,4,62.6,59.0,2648
2.46,5,4,2,63.0,56.0,15745
0.54,5,2,3,62.0,55.0,1057
0.7,1,3,1,62.1,66.0,1138
0.43,5,7,2,62.6,56.0,919
0.82,4,2,8,61.2,60.0,3224
0.36,5,5,3,62.0,56.0,770
0.61,5,4,8,62.3,56.0,2800
0.55,4,7,3,60.5,60.0,1698
2.25,1,3,1,67.7,58.0,6653
0.38,4,6,7,61.9,58.0,1327
0.4,5,6,6,62.4,59.0,1166
1.22,5,4,5,61.3,56.0,8313
0.57,3,4,2,60.5,56.0,1171
0.7,2,5,3,58.7,60.0,2409
0.7,4,5,3,61.9,59.0,2401
0.56,4,6,2,62.6,59.0,1206
1.12,5,4,6,62.1,54.8,8701
1.29,5,5,5,62.3,54.0,10923
0.58,5,3,7,61.6,56.0,2006
0.31,5,5,4,61.9,54.0,802
0.57,5,6,4,61.8,56.0,1851
1.38,4,1,4,60.2,59.0,6175
1.02,4,7,6,61.4,58.0,10773
0.39,5,5,8,61.9,57.0,1433
0.71,4,7,4,62.1,60.0,2950
1.23,4,4,6,59.6,59.0,8971
1.52,4,1,5,62.4,59.0,8110
0.51,5,6,4,61.8,57.0,1656
0.7,5,5,3,61.2,55.0,3119
0.36,4,7,4,60.5,58.0,852
1.01,4,4,4,61.6,61.0,5864
1.7,4,2,5,58.0,60.0,12030
0.31,5,4,4,62.2,53.6,557
0.57,5,6,4,61.6,56.0,1949
0.8,3,5,3,63.5,58.0,3082
0.83,4,7,2,62.7,56.0,3078
1.24,5,2,2,61.9,57.0,5221
1.0,3,7,2,63.2,57.0,4628
1.0,4,4,6,61.6,61.0,7762
1.3,5,4,4,61.9,55.0,9225
0.46,5,4,3,61.5,55.0,979
0.33,5,3,5,62.0,55.0,579
0.33,5,7,4,61.8,56.0,781
0.5,3,4,6,62.1,61.0,1715
1.07,3,4,5,61.2,55.0,6780
0.35,5,7,3,62.7,56.0,827
0.7,5,2,5,62.7,57.0,2163
0.73,4,6,5,61.2,58.0,3370
0.7,5,5,3,61.8,58.0,2343
0.7,4,4,5,61.0,59.0,2535
1.07,3,6,4,60.4,58.0,6441
1.15,2,1,2,63.8,60.0,3733
0.81,4,5,3,61.6,58.0,3311
1.23,3,4,6,60.6,55.0,10004
0.51,5,6,3,62.5,56.0,1343
1.2,3,3,2,60.2,58.0,5408
0.28,3,5,5,62.1,59.0,487
1.83,4,4,1,62.0,58.0,6313
2.01,2,3,3,56.7,58.0,13929
0.24,3,6,5,62.4,59.0,419
0.42,5,3,3,61.7,55.0,885
0.3,5,3,8,61.6,57.0,764
1.03,3,7,2,61.8,60.0,4478
1.0,2,5,2,63.7,57.0,3977
0.43,5,5,3,62.5,56.0,760
1.55,5,5,2,61.9,55.0,10937
0.3,5,4,3,60.9,57.0,422
1.0,1,5,5,65.0,59.0,6115
0.28,4,6,6,60.1,59.0,828
1.5,4,5,1,62.6,57.0,4096
0.44,4,5,6,61.6,58.0,1196
0.3,3,6,3,60.6,56.0,526
1.11,5,5,2,62.0,57.0,4227
1.01,3,5,2,62.3,59.0,4384
0.9,5,3,2,62.0,57.0,3578
1.0,2,5,4,63.2,59.0,6183
0.53,5,2,4,62.1,54.0,1046
0.93,2,4,5,63.8,59.0,4503
1.51,3,5,3,62.1,55.0,11302
1.57,4,4,5,59.9,56.0,14180
0.33,5,5,6,61.3,56.0,1040
1.14,3,5,4,59.0,60.0,8131
1.75,5,1,6,62.0,55.0,11609
0.53,5,3,5,61.6,55.0,1678
0.7,4,4,1,59.2,61.0,1115
0.9,3,4,4,58.5,59.0,4484
0.21,4,7,4,58.3,59.0,386
1.51,4,6,3,62.6,55.0,11565
0.7,3,4,4,62.5,54.0,2562
1.05,2,4,2,63.2,54.0,4241
0.32,2,5,7,63.8,54.0,977
0.92,2,2,3,57.4,65.0,3122
2.1,3,1,2,59.1,58.0,12381
0.66,5,3,4,61.4,56.0,2178
1.0,4,4,3,60.0,60.0,3568
0.4,5,2,8,62.8,54.0,1053
0.31,5,3,4,62.1,55.0,628
0.35,5,4,8,62.0,54.0,1001
1.33,3,1,4,63.9,57.0,5913
1.01,4,4,4,61.8,59.0,5946
0.85,2,4,3,64.2,58.0,2244
0.54,4,6,4,59.0,60.0,1687
0.4,3,7,3,63.5,55.0,924
1.0,4,4,4,61.5,58.0,5967
1.0,3,5,3,63.8,56.0,5030
0.41,5,5,6,61.7,57.0,1115
1.01,1,2,5,64.9,58.0,4263
0.72,4,6,3,62.8,52.0,2333
0.58,5,4,5,62.2,55.0,1899
0.72,2,4,5,58.0,57.8,2958
1.07,4,4,2,62.2,58.0,3545
1.22,4,7,2,62.0,60.0,6046
0.31,4,5,4,61.7,58.0,625
1.06,4,4,3,59.6,58.0,4903
1.02,3,5,6,62.9,59.0,8940
0.71,4,5,2,62.6,59.0,2072
1.24,4,7,2,59.1,59.0,5969
1.5,4,5,3,60.0,60.0,8400
0.3,4,7,2,62.3,58.0,574
1.71,3,3,3,60.8,56.0,13169
1.03,5,4,5,61.2,57.0,7391
1.01,4,3,3,61.2,58.0,4559
